SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
HY33,-32.7513,118.9524,416,15.7,354,6.3,0.62,0.026,19,0.14,1.7,2.2,96,1
HY34,-32.7873,119.0679,452,15.5,357,6.5,1.21,0.061,72,0.44,1.8,2.3,95.9,1
HY35,-32.6442,118.9908,393,15.9,349,6.9,2.65,0.114,97,0.74,4.7,2.4,92.9,1
HY36,-32.6132,118.9388,400,15.9,350,6.4,1.38,0.049,45,0.3,3,3.5,93.5,3
HY37,-32.617,118.9438,400,15.9,350,5.8,2.41,0.075,52,0.54,10.7,2.3,87,2
HY38,-32.6396,119.0695,348,16.2,340,6.4,0.67,0.029,24,0.29,3.7,2.8,93.4,2
HY39,-32.6364,119.0501,358,16.1,342,6.1,0.84,0.034,27,0.3,3.6,2.7,93.6,1
HY40,-32.6949,118.9446,385,15.9,348,6.2,0.77,0.026,20,0.19,3.6,2.5,93.9,2
HY41,-32.7064,118.9434,381,15.9,348,6.8,3.03,0.135,150,0.75,6.7,2.7,90.6,1
HY42,-32.6909,119.0304,380,15.9,346,7.1,2.74,0.112,66,0.74,3.9,2.7,93.4,1
HY43,-32.7454,118.9887,422,15.7,354,6,4.36,0.125,54,0.55,4.2,1,94.8,3
HY44,-32.7203,119.0036,398,15.8,350,6.3,0.53,0.022,16,0.12,1.7,2,96.3,9
HY45,-32.7716,119.0849,414,15.7,350,6.4,1.23,0.05,44,0.31,4.2,4.4,91.3,1
HY46,-32.7843,119.0712,452,15.5,357,6.1,1.12,0.045,35,0.17,4.1,2.5,93.4,3
HY47,-32.8279,119.0459,403,15.7,350,6.8,2.11,0.102,72,0.46,4.3,4.7,91,2
HY48,-32.7448,119.0211,397,15.8,349,6.2,1.09,0.047,34,0.24,3.6,3,93.3,1
HY49,-32.7465,119.0652,393,15.8,347,6.8,1.63,0.078,66,0.51,2.8,2.9,94.3,1
HY50,-32.8347,119.0032,378,15.8,348,6.4,1.05,0.042,33,0.21,3.6,3.3,93,2
HY51,-32.8337,119.0279,390,15.7,349,6.9,1.01,0.06,43,0.36,3.3,3.4,93.3,2
HY52,-32.823,119.0371,407,15.7,351,5.9,3.6,0.218,78,0.42,3.9,2.6,93.5,2
HY53,-32.8238,119.0597,409,15.6,351,7.4,3.5,0.186,280,1.56,1.7,2,96.3,1
HY54,-32.8748,119.1153,343,16,338,6.2,1.57,0.067,36,0.31,2.9,1.3,95.8,3
HY55,-32.8564,119.1854,339,16,334,6.8,0.61,0.029,28,0.23,5.8,2.1,92.1,1
HY56,-32.6088,119.3572,360,16.2,336,6,0.61,0.031,24,0.16,2.8,2.3,94.8,2
HY57,-32.6091,119.3487,366,16.1,337,6.4,1,0.034,33,0.2,3.3,1.6,95.1,1
HY58,-32.6283,119.3336,372,16.1,338,6,0.91,0.033,25,0.14,2.2,2.1,95.7,1
HY59,-32.6463,119.341,352,16.2,335,6,0.8,0.047,83,0.2,1.8,1.8,96.4,5
HY60,-32.6443,119.3384,354,16.2,335,6,1.86,0.126,140,0.16,3.7,3.1,93.2,1
HY62,-32.6446,119.3884,332,16.3,330,6.9,0.75,0.026,14,0.21,2.9,1,96.1,3
HY63,-32.644,119.3826,336,16.3,331,6.1,1.25,0.046,20,0.1,2.8,1.2,96,9
HY64,-32.5862,119.4156,312,16.5,327,8.3,2.49,0.164,100,2.16,2.5,4.8,92.7,5
HY66,-32.5416,119.3828,311,16.5,327,7.4,2.18,0.127,95,1.56,2.2,2.8,95,2
HY67,-32.5482,119.3749,310,16.5,327,7.8,1.59,0.111,140,1.67,4,3.9,92.2,1
HY68,-32.6307,119.3597,361,16.1,336,5.8,0.66,0.039,34,0.25,3.3,2.2,94.5,3
HY69,-32.6203,119.3545,368,16.1,337,6.3,1.36,0.057,41,0.19,4.3,2.5,93.2,2
HY72,-32.647,119.4007,324,16.3,329,7.9,0.96,0.063,45,1.1,3.2,3,93.8,1
HY73,-32.5511,119.4415,328,16.4,329,6.8,0.69,0.027,25,0.29,4.2,1.8,93.9,2
HY74,-32.5569,119.4186,312,16.5,327,6.2,0.96,0.052,53,0.21,5.2,4.3,90.5,2
HY77,-32.5729,119.4043,311,16.5,327,7.6,1.36,0.086,81,1.58,3.8,3.2,93,2
HY78,-32.5808,119.4088,312,16.5,327,7.7,1.77,0.123,100,1.84,4.1,4.6,91.4,1
HY79,-32.644,119.3338,352,16.2,335,6.2,0.48,0.029,30,0.23,4.8,1.8,93.4,1
HY80,-32.6451,119.3483,353,16.2,335,6.5,0.8,0.031,49,0.39,3.7,3.1,93.2,2
HY81,-32.6428,119.3394,357,16.2,335,6.4,1.85,0.096,140,0.5,3.7,3,93.3,1
HY82,-32.6544,119.7111,422,15.8,341,6.4,2.54,0.114,59,0.86,4.7,2.1,93.2,1
JB01,-31.5783,116.2636,128,17.6,671,5.3,2.13,0.121,72,0.24,2.2,4.1,93.7,2
JB02,-31.5868,116.2664,161,17.4,689,5.9,2.86,0.13,89,0.25,1.2,3.8,95,1
JB05,-31.6366,116.3979,212,17.2,616,5.6,2.91,0.103,67,0.16,3.3,2.8,93.8,1
JB06,-31.3212,116.561,221,17.6,412,5.8,1.58,0.087,75,0.33,4.4,3.7,91.9,1
JB07,-31.3099,116.4001,289,17.1,532,6,0.6,0.022,21,0.04,0.3,2.1,97.6,9
JB08,-31.4002,116.3179,310,16.9,640,6.3,2.34,0.106,110,0.35,2.4,4.5,93,3
JB09,-31.4513,116.2728,268,17,681,5.9,5.49,0.176,83,0.18,2,3.3,94.7,2
JB10,-31.4502,116.2443,250,17.1,692,6,6.53,0.176,190,0.35,1.6,3.6,94.9,3
JB11,-31.426,116.1651,219,17.2,712,6.3,4.38,0.164,210,0.2,1.8,7.7,90.5,2
JB12,-31.4014,116.1644,254,17.1,714,5.8,0.99,0.024,27,0.06,0.4,1.9,97.7,4
JB13,-31.3562,116.2174,271,17.1,671,6.3,1.32,0.052,47,0.1,0.8,2.3,97,9
JB14,-31.5948,116.2657,190,17.2,707,5.9,9.06,0.232,120,0.48,2,2.1,95.9,1
JB15,-31.6085,116.2615,243,17,741,6.1,1.45,0.061,62,0.24,2.3,3,94.7,4
JB16,-31.6343,116.272,333,16.5,780,5.6,5.96,0.193,90,0.41,2,3.3,94.7,2
JB19,-31.3075,116.4056,287,17.1,526,6.9,1.96,0.091,80,0.27,2.6,2.8,94.6,1
JB21,-31.4938,116.5765,264,17.2,466,6.2,8.36,0.262,190,0.35,1.5,3.8,94.8,1
JB22,-31.4938,116.5765,264,17.2,466,5.6,8.97,0.296,160,0.59,3.3,4.8,91.9,1
JB23,-31.4924,116.5931,232,17.3,447,6.2,4.26,0.227,260,0.67,3.4,5.5,91.1,2
KL02,-31.9641,117.9343,246,17.2,312,6.7,1.63,0.098,140,1.45,3.2,4.6,92.1,2
KL03,-31.9187,117.9798,260,17.2,314,6.1,0.58,0.029,23,0.06,1.4,1.2,97.5,9
KL04,-31.8566,118.104,289,17.2,320,6.1,1.3,0.061,55,0.33,3.6,3.7,92.7,2
KL05,-31.7612,118.063,349,16.9,329,6.1,0.59,0.025,23,0.09,1.7,3.3,95,5
KL06,-31.7594,118.0292,345,17,328,5.4,0.76,0.03,19,0.06,2.8,1.9,95.3,9
KL07,-31.4499,117.7747,343,17.3,327,6.4,1.26,0.053,63,0.26,3.7,2.8,93.5,2
KL08,-31.4023,117.7589,387,17.1,335,5.8,1.12,0.06,57,0.19,2.8,2.6,94.5,2
KL09,-31.4094,117.7505,384,17.1,336,5.8,0.5,0.021,16,0.05,3,1.9,95.1,1
