SiteID,Lat,Long,SpCode,CC,Family,Genus,Species,Name,lifeform
DA16,-33.5249,116.7341,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
DA17,-33.5875,116.6032,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
DN04,-30.1558,115.9594,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
DN06,-30.0622,115.9198,PTIAER,,Amaranthaceae,Ptilotus,aervoides,Ptilotus aervoides,shrub
DN06,-30.0622,115.9198,PTIDIV,,Amaranthaceae,Ptilotus,divaricatus,Ptilotus divaricatus,shrub
DU02,-33.0853,117.7819,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
DU02,-33.0853,117.7819,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
DU15,-33.0642,117.6967,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
DU17,-33.0892,117.8378,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
ES16,-33.2905,122.1253,PTIAER,,Amaranthaceae,Ptilotus,aervoides,Ptilotus aervoides,shrub
GP14,-33.3932,121.6507,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
GP14,-33.3932,121.6507,PTIHUM,,Amaranthaceae,Ptilotus,humilis,Ptilotus humilis,shrub
GP25,-33.2692,121.6428,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
HY51,-32.8337,119.0279,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
HY72,-32.647,119.4007,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
HY77,-32.5729,119.4043,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
HY82,-32.6544,119.7111,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
JB02,-31.5868,116.2664,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
JB08,-31.4002,116.3179,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
JB08,-31.4002,116.3179,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
JB10,-31.4502,116.2443,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
JB15,-31.6085,116.2615,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
JB15,-31.6085,116.2615,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
JB16,-31.6343,116.272,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
JB19,-31.3075,116.4056,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
JB23,-31.4924,116.5931,PTIDIV,,Amaranthaceae,Ptilotus,divaricatus,Ptilotus divaricatus,shrub
KL04,-31.8566,118.104,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
KL05,-31.7612,118.063,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
KL07,-31.4499,117.7747,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
KL07,-31.4499,117.7747,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
KL12,-31.3774,117.9337,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
KL13,-31.7325,117.7831,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KL18,-31.5324,118.0835,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KL19,-31.4475,117.7788,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KL27,-32.0892,117.693,PTIPOL,,Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,shrub
KL27,-32.0892,117.693,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
KL27,-32.0892,117.693,PTIHUM,,Amaranthaceae,Ptilotus,humilis,Ptilotus humilis,shrub
KL36,-32.1127,117.7548,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
KN01,-32.6747,118.3361,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KN06,-32.5014,118.5608,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KN07,-32.5111,118.5472,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
